data,hora,taxa
2021/07/23,10:39:35,4.632523162390437
2021/07/23,10:39:38,4.5661414666275935
2021/07/23,10:39:40,4.475423031009705
2021/07/23,10:39:42,4.117479584940967
2021/07/23,10:39:44,3.9637087652076297
2021/07/23,10:39:47,4.1636177382533806
2021/07/23,10:39:49,4.055913116649808
2021/07/23,10:39:52,4.372529357058838
2021/07/23,10:39:54,3.6816860699837117
2021/07/23,10:39:56,3.6973566105453153
2021/07/23,10:40:10,3.8663300893750487
2021/07/23,10:40:13,4.1382267225994855
2021/07/23,10:40:16,3.774275005649989
2021/07/23,10:40:19,4.376372534795069
2021/07/23,10:40:21,4.054278302573378
2021/07/23,10:40:24,3.6568373972690185
2021/07/23,10:40:26,3.889599578049214
2021/07/23,10:40:29,4.234224958170805
2021/07/23,10:40:31,4.1829222142790865
2021/07/23,10:40:33,4.181894562158954
